id,n,v,cpc,cmp,lc,hc,vt,mv,i,f,g,a,o,c,h,src
0,ragnok2,10,,33,0,0,0,10|10|10|10|10|10|10|0|10|10|10|10,4,9280,0,0,36|1|47,A,false,A
1,라그 녹 무선 건 마우스,110,0.36,56,122.0k,803.9k,-0.64,0|0|0|0|0|1.2k|990|660|170|180|90|61,8,8256,0,0,45|52|19|18|38|44|15|40|35|3|53|47,A,false,A
2,ragnok 2,16,,1,0,0,-0.33,30|20|20|30|30|20|40|20|30|20|10|20,8,9280,0,0,1|47,A,false,A
3,총 마우스,773,0.07,32,17.8k,191.5k,-0.07,1.1k|860|1.1k|920|990|1.7k|1.1k|790|560|970|830|520,9,8256,1,1,23|30|36|52|18|15|40|6|35|53|27|47,A,false,A
4,햅틱 피드백 마우스,40,,20,0,0,2,0|0|0|0|0|0|10|10|10|50|40|30,8,65,0,0,56,A,false,A
5,플레이기어 마우스패드 디시,120,0.43,38,0,0,0.22,90|90|110|70|110|90|70|70|90|110|140|110,4,64,0,0,,A,false,A
6,반동 마우스,29,,40,0,0,-0.5,37|22|22|36|33|32|20|40|20|53|24|10,9,8256,0,0,,A,false,A
7,슈팅게임 마우스,3,,,0,0,-1,15|0|0|0|0|0|0|11|10|0|11|0,8,1089,0,0,30|31|14|52|29|19|18|38|15|40|6|35,A,false,A
8,햅틱 마우스,1006,0.32,47,103.5k,397.0k,1.84,40|70|80|40|150|1.7k|240|160|260|1.2k|1.1k|740,5,8257,1,16,56,A,false,A
9,fps 진동 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,9280,0,0,56,A,false,A
10,마우스 진동,37,,23,0,0,1.25,10|36|10|20|35|56|37|20|20|30|37|45,4,8257,0,0,56,A,false,A
11,ragnok v3,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,9280,0,0,36|3,A,false,A
12,ragnok,1683,1.01,1,160.6k,2.5M,0.03,1.7k|1.4k|1.7k|1.6k|1.4k|1.7k|1.7k|1.9k|1.6k|1.4k|2.0k|1.7k,10,9280,1,16,38|53|47,A,false,A
13,라그나로크 자동사냥 매크로,76,0.37,3,0,0,0.4,40|30|40|40|70|70|70|70|50|50|110|70,9,8257,0,0,,A,false,A
14,fps 마우스 추천 퀘이사존,16,,40,0,0,0,50|30|10|20|20|20|20|30|20|10|20|20,1,2112,0,0,,A,false,A
15,라그녹 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1088,0,0,36|47,A,false,A
16,라그녹2,4,,,0,0,0,0|0|18|16|20|18|0|0|0|0|12|0,9,8256,0,0,45|52|19|18|44|1|15|40|35|47,A,false,A
17,ergostrike,19,,22,0,0,1,31|47|35|30|28|27|24|10|10|28|10|20,9,9280,0,0,38|53,A,false,A
18,건 마우스 후기,49,0.01,30,0,0,0.46,20|20|30|50|73|50|50|55|30|50|53|44,1,10304,0,0,,A,false,A
19,건 마우스 디시,23,0.08,39,0,0,0,30|30|10|20|40|50|30|10|20|30|20|20,4,64,0,0,,A,false,A
20,ergostrike7 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,8257,0,0,,A,false,A
21,총 모양 마우스 가격,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1089,0,0,30|52|19|18|34|15|40|16|6|35|28|3,A,false,A
22,건 마우스 가격,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,3136,0,0,36|52|19|18|55|15|40|16|2052|35|1713|47,A,false,A
23,ergostrike7,98,,19,0,0,-0.7,140|150|140|160|150|160|90|80|120|170|90|36,9,10304,0,0,36,A,false,A
24,라그녹,53,,0,0,0,-0.62,26|47|67|80|70|160|80|80|80|70|60|30,9,9280,0,0,23|36|52|19|18|38|44|49|1|40|35|47,A,false,A
25,진동 마우스패드,10,,69,0,0,0,10|10|10|10|20|10|10|10|10|10|10|10,8,3137,0,0,56,A,false,A
26,ragnok ergostrike7 mouse,0,,,0,0,0,0|0|0|0|0|10|10|0|0|0|0|0,9,9280,0,0,38|47,A,false,A
27,총 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,A,false,A
28,슈팅 마우스,9,,,0,0,-1,0|0|0|15|13|14|0|0|14|13|14|0,9,8257,0,0,30|31|52|29|19|18|38|15|40|6|35|53,A,false,A
29,건 마우스,883,0.15,41,53.7k,368.7k,-0.21,1.2k|850|770|1.1k|1.3k|1.6k|1.1k|950|700|1.1k|1.1k|550,8,9280,1,33,36|38|1|53|47,A,false,A
30,fps 마우스,826,0.34,63,130.2k,651.5k,-0.12,770|700|760|810|740|820|650|590|650|760|1.1k|570,8,10305,1,32,,A,false,A
31,fps 마우스 추천,583,0.27,90,137.5k,643.0k,-0.14,760|580|550|690|620|650|650|460|570|720|540|490,5,8513,1,16,,A,false,A
32,진동 키보드,50,0.24,45,0,0,-0.25,56|57|50|40|70|50|52|38|40|55|66|30,1,2112,0,0,56,A,false,A
33,총 게임 마우스,20,,,0,0,-1,0|14|12|0|18|44|20|18|23|23|39|0,9,9536,0,0,30|36|52|19|18|38|15|40|6|35|53|47,A,false,A
34,권총 모양 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,9280,0,0,23|30|45|36|52|19|18|15|40|6|35|53,A,false,A
35,버티컬 마우스,50400,0.15,95,74.4k,247.8k,-0.08,40.1k|43.5k|44.7k|45.3k|49.1k|37.9k|38k|46.1k|50k|45.4k|60.1k|45.7k,9,9281,0,0,1507|1601|1133|1578|1350|1390|1239|1270|1316|1384|1635|1079,A,true,A
36,ragnok 마우스,86,0.47,71,120.1k,446.4k,1.1,44|20|20|30|40|41|55|39|20|56|160|42,10,8256,0,0,20|45|52|19|18|38|1|15|40|35|53|47,A,false,A
37,플레이햅틱,16,,,0,0,16,0|0|20|19|17|0|0|0|0|20|14|16,6,8256,0,0,56,A,false,A
38,권총 마우스,126,,,0,0,-0.37,240|150|160|70|140|230|130|100|80|180|150|50,9,8256,1,1,23|30|36|52|18|1|15|40|35|53|27|47,A,false,A
39,ragnok 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,54|34,A,false,A
40,라그녹 마우스 후기,13,,71,0,0,-0.5,0|0|0|0|20|30|30|20|20|20|10|10,1,8256,0,0,,A,false,A
41,라그나로크 매크로 마우스,96,0.24,5,152.9k,323.4k,0.57,40|50|50|50|54|70|50|50|70|50|130|110,1,8256,0,0,,A,false,A
42,ergostrike7 mouse price,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,3,A,false,A
43,센스필,22,,0,0,0,0,35|34|40|20|33|24|24|34|10|23|34|10,9,320,0,0,56,A,false,A
44,라그 녹 3,5,,,0,0,0,0|0|0|0|18|0|11|0|0|16|0|0,4,9281,0,0,36|47,A,false,A
45,ragnok ergostrike7,80,0.19,46,109.3k,296.3k,1.9,10|10|22|90|140|170|100|58|30|104|50|87,9,9280,1,32,36,A,false,A
46,sh60p,0,,,0,0,0,0|0|14|0|0|0|0|0|0|0|0|0,9,9280,0,0,56,A,false,A
47,총 모양 마우스,496,0.21,10,55.8k,249.1k,-0.02,480|380|360|400|420|540|400|420|340|640|520|330,9,8256,0,0,23|30|52|29|18|1|15|40|6|35|53|27,A,false,A
48,라그녹 마우스,33,0.16,33,0,0,-0.45,42|34|48|100|80|150|90|36|37|20|60|20,9,9280,0,0,30|45|52|19|18|38|44|15|40|35|53|47,A,false,A
49,라그 녹 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,34,A,false,A
50,진동 마우스,253,0.28,45,98.1k,510.4k,-0.08,200|220|170|180|200|320|210|190|230|300|250|210,8,8256,1,0,56,A,false,A
51,zero4942 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,,A,false,A
52,ragnok 마우스 후기,40,0.56,64,0,0,-0.25,40|30|20|20|40|70|40|30|40|40|50|30,1,8256,0,0,,A,false,A
53,총 마우스 가격,0,,,0,0,0,0|0|0|0|0|10|0|0|0|0|0|0,8,3137,0,0,23|30|52|18|44|15|40|6|35|56|27|47,A,false,A
54,건그립 마우스,18,,25,0,0,0,20|10|10|46|10|10|10|10|10|23|22|10,9,9281,0,0,23|30|36|52|19|18|38|44|15|40|35|47,A,false,A
55,나무 마우스,167,0.01,0,0,0,0.37,76|80|64|110|160|110|80|85|137|153|160|188,4,2112,0,0,,A,false,A
56,진동 마우스 디시,23,3.24,13,0,0,-0.33,20|10|20|20|10|30|20|30|30|30|20|20,1,0,0,0,30|52|51|19|18|38|15|40|35|32|5|8,A,false,A
57,라그나로크 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,30|45|52|19|38|58|41|13|16|6|35,A,false,A
58,라그나로크 g hub,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,A,false,A
59,나사없는 마우스 분해,43,,0,0,0,0,70|70|50|70|50|50|70|40|40|50|40|40,1,8257,0,0,,B,false,A
60,sm m1300q,112,0.24,47,0,0,-0.39,86|67|109|97|100|70|109|90|140|136|117|85,8,1024,0,0,71,B,false,A
61,aa mw1d5wb 분해,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,11329,0,0,,B,false,A
62,삼성 로지텍 버티컬 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,11328,0,0,1270,B,false,A
63,sm m1300qb 디시,13,,33,0,0,0,20|10|10|10|10|10|10|10|10|20|10|10,4,1088,0,0,71,B,false,A
