period,id,n,v,cpc,cmp,lc,hc,vt,mv,i,f,g,a,o,c,h
past,0,앱코 wem65 후기,20,,2,0,0,0,0|0|0|0|0|0|0|30|20|30|10|20,8,65,0,0,,A,false
past,1,앱코 wem60 후기,36,,32,0,0,-0.55,20|20|40|90|90|60|40|40|68|40|40|30,4,3137,0,0,,A,false
past,2,wem60 블루투스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1,0,0,,A,false
past,3,앱코 wem60 충전,0,,,0,0,-1,30|15|20|19|16|19|20|13|19|0|0|0,4,65,0,0,,A,false
past,4,wem60 충전,11,,,0,0,-0.3,11|0|16|0|0|0|0|18|20|0|19|14,4,65,0,0,,A,false
past,5,wm600 블루투스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,12,A,false
past,6,앱코 wem60 드라이버,13,,0,0,0,10,0|0|0|10|0|0|0|0|0|10|20|10,1,64,0,0,,A,false
past,7,앱코 wem60 디시,43,,25,0,0,-0.42,0|0|40|50|50|40|50|50|70|40|50|40,8,64,0,0,,A,false
past,8,앱코 wem60 버튼 설정,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,,A,false
past,9,wem60 후기,10,,43,0,0,0,0|0|30|10|20|10|10|10|10|10|10|10,4,3137,0,0,,A,false
past,10,abko wem60,73,0.51,31,0,0,0,60|40|120|80|80|60|60|70|70|80|70|70,8,1088,0,16,,A,false
past,11,wm600 드라이버,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,12,A,false
past,12,wem60,516,0.09,64,47.1k,276.2k,-0.3,450|380|510|560|580|500|500|480|630|530|580|440,8,1088,0,16,14|2|4|19|7|15|16|8|1|0,A,false
past,13,앱코 마우스 휠,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1089,0,0,12,A,false
past,14,wem60 드라이버,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1089,0,0,,A,false
past,15,앱코 wem60 배터리,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,,A,false
past,16,앱코 wem60 배터리 확인,16,,0,0,0,20,0|0|0|0|0|0|0|0|0|0|30|20,4,65,0,0,,A,false
past,17,wem40,11,,0,0,0,0,40|30|30|29|21|30|10|10|23|10|0|23,8,1088,0,0,12,A,false
